dataset,source,key,cosine_chatgpt,cosine_dipper_low,cosine_dipper_high,jaccard_chatgpt,recall_chatgpt,precision_chatgpt,jaccard_dipper_low,recall_dipper_low,precision_dipper_low,jaccard_dipper_high,recall_dipper_high,precision_dipper_high,jaccard_pegasus_slight,recall_pegasus_slight,precision_pegasus_slight,jaccard_pegasus_full,recall_pegasus_full,precision_pegasus_full,source_group
cmv,BigScience,cmv-339,0.9818223279965537,0.9952006096708144,0.9709296103745887,0.6,1.0,0.6,0.16666666666666666,0.3333333333333333,0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,LLM
cmv,BigScience,cmv-340,0.985230730541139,0.991648992049981,0.742487401924089,0.75,0.8571428571428571,0.8571428571428571,0.5,0.5714285714285714,0.8,0.0,0.0,0.0,0.4,0.5714285714285714,0.5714285714285714,0.4,0.5714285714285714,0.5714285714285714,LLM
cmv,BigScience,cmv-341,0.9764671504400398,0.9894239987648982,0.9356679991725086,0.42857142857142855,0.6,0.6,0.8,0.8,1.0,0.0,0.0,0.0,0.8,0.8,1.0,0.4,0.4,1.0,LLM
cmv,BigScience,cmv-342,0.9898742149663305,0.9931744528765376,0.8250400728078356,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.5,1.0,LLM
cmv,BigScience,cmv-343,0.9870128922518954,0.9853497884218092,0.776167036447821,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,1.0,LLM
cmv,BigScience,cmv-344,0.9578842853534154,0.9940474171352184,0.8957704703098319,0.8333333333333334,0.8333333333333334,1.0,0.8571428571428571,1.0,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,LLM
cmv,BigScience,cmv-345,0.9950316082852735,0.9916040202760006,0.7948198717955165,0.7368421052631579,0.8235294117647058,0.875,0.6428571428571429,0.7941176470588235,0.7714285714285715,0.0,0.0,0.0,0.9117647058823529,0.9117647058823529,1.0,0.6,0.6176470588235294,0.9545454545454546,LLM
cmv,BigScience,cmv-346,0.9895779426115305,0.9953181994721793,0.9492413151282169,0.42105263157894735,0.6153846153846154,0.5714285714285714,0.4444444444444444,0.6153846153846154,0.6153846153846154,0.0,0.0,0.0,0.9285714285714286,1.0,0.9285714285714286,0.5714285714285714,0.6153846153846154,0.8888888888888888,LLM
cmv,BigScience,cmv-3462,0.9814575254733869,0.9898046810659576,0.9430631254715931,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.375,0.5,0.6,0.07142857142857142,0.08333333333333333,0.3333333333333333,0.7692307692307693,0.8333333333333334,0.9090909090909091,0.5714285714285714,0.6666666666666666,0.8,LLM
cmv,BigScience,cmv-347,0.9704933808578482,0.9931853763736587,0.8565837456414205,0.5555555555555556,0.625,0.8333333333333334,0.875,0.875,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.75,1.0,LLM
cmv,BigScience,cmv-348,0.9818612580444506,0.9883903375942176,0.9578387947121748,0.6,0.7142857142857143,0.7894736842105263,0.6,0.7142857142857143,0.7894736842105263,0.0,0.0,0.0,0.9523809523809523,0.9523809523809523,1.0,0.36363636363636365,0.38095238095238093,0.8888888888888888,LLM
